seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,bert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.05889187753200531,0,0.05889187753200531,0.8756041719664207,0.8556957383661636,0.900906272358693,0.8576785132050864,0.830990692241022,0.8821659215101838,0.6213010402111473,0.8802178484023302,0.8923476005188068,0.8212162780064015,0.7343321462196569,0.8648170384882765,0.8657020780734123,0.658148441627047,0.689810894721987,0.8250550291893961,0.8545813161197776,0.513156885308784,0.6442579429648027,0.8278023598820059,0.9151705265968098,0.8450704225352113,0.8315173826559392,0.8523214504471396,0.8392590641734703,0.8499233128834356,0.8505469526921438,0.9132302855645795,0.6018306636155606,0.6118347432970771,0.725679127002554,0.8451853578922826,0.60844834797156,0.6692474192474193,0.7898545078222526,0.9661043608194723,0.8756041719664207,0.8556957383661636,0.900906272358693,0.8576785132050864,0.830990692241022,0.8821659215101838,0.6213010402111473,0.8802178484023302,0.8923476005188068,0.8212162780064015,0.7343321462196569,0.8648170384882765,0.8657020780734123,0.658148441627047,0.689810894721987,0.8250550291893961,0.8545813161197776,0.513156885308784,0.6442579429648027,0.8278023598820059,0.9151705265968098,0.8450704225352113,0.8315173826559392,0.8523214504471396,0.8392590641734703,0.8499233128834356,0.8505469526921438,0.9132302855645795,0.6018306636155606,0.6118347432970771,0.725679127002554,0.8451853578922826,0.60844834797156,0.6692474192474193,0.7898545078222526,0.9661043608194723
42,bert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.07005387544631958,0,0.07005387544631958,0.8743322309844823,0.8511006451465044,0.8927378964941569,0.8553961525921095,0.8295587293213249,0.8852459016393442,0.624002484086322,0.8799248560890697,0.8931457647410955,0.8203932327389117,0.7349461705350199,0.8693041774631866,0.8628859972810254,0.6463946117274167,0.6727631950324584,0.8232366733658724,0.8552985476062399,0.5128500191791331,0.6481116725186263,0.8250368731563422,0.9112661015817927,0.8373342782059232,0.8319923997268652,0.8484013230429989,0.8373277148626108,0.8478527607361963,0.8381162096888762,0.913597065758449,0.5981693363844394,0.619444071438163,0.7197585326213142,0.8450687806015388,0.6072772898368883,0.6819014319014319,0.788063915531945,0.9670087688254493,0.8743322309844823,0.8511006451465044,0.8927378964941569,0.8553961525921095,0.8295587293213249,0.8852459016393442,0.624002484086322,0.8799248560890697,0.8931457647410955,0.8203932327389117,0.7349461705350199,0.8693041774631866,0.8628859972810254,0.6463946117274167,0.6727631950324584,0.8232366733658724,0.8552985476062399,0.5128500191791331,0.6481116725186263,0.8250368731563422,0.9112661015817927,0.8373342782059232,0.8319923997268652,0.8484013230429989,0.8373277148626108,0.8478527607361963,0.8381162096888762,0.913597065758449,0.5981693363844394,0.619444071438163,0.7197585326213142,0.8450687806015388,0.6072772898368883,0.6819014319014319,0.788063915531945,0.9670087688254493
66,bert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.030051622539758682,0,0.030051622539758682,0.8718519460697024,0.8459154090320511,0.8906510851419032,0.8542549722856211,0.8320835060481592,0.8785891703924491,0.6285048905449464,0.8815449312329806,0.8923476005188068,0.798079561042524,0.7317941790494904,0.8750552992479302,0.8677413089920373,0.6387348124669836,0.7355066327970646,0.8277347114556417,0.854850277927201,0.513463751438435,0.6503382718163911,0.8259587020648967,0.9137355669759061,0.8364779874213837,0.837009767538521,0.8518926865123116,0.833552804845931,0.8427147239263804,0.8452194914050292,0.9093004977731203,0.6036613272311213,0.6029721140504006,0.7157534246575342,0.836092329214269,0.6115432873274781,0.6751581751581751,0.788531917753023,0.9658684282961739,0.8718519460697024,0.8459154090320511,0.8906510851419032,0.8542549722856211,0.8320835060481592,0.8785891703924491,0.6285048905449464,0.8815449312329806,0.8923476005188068,0.798079561042524,0.7317941790494904,0.8750552992479302,0.8677413089920373,0.6387348124669836,0.7355066327970646,0.8277347114556417,0.854850277927201,0.513463751438435,0.6503382718163911,0.8259587020648967,0.9137355669759061,0.8364779874213837,0.837009767538521,0.8518926865123116,0.833552804845931,0.8427147239263804,0.8452194914050292,0.9093004977731203,0.6036613272311213,0.6029721140504006,0.7157534246575342,0.836092329214269,0.6115432873274781,0.6751581751581751,0.788531917753023,0.9658684282961739
23,bert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.04648130387067795,0,0.04648130387067795,0.8804375476977868,0.8664558194964878,0.8991175769139041,0.8598793609390284,0.8312544748841241,0.8836562344759066,0.647601304145319,0.8803212574540692,0.8945425521301008,0.8271604938271605,0.7477997462032829,0.8714529482399039,0.8662847154787338,0.6419704173269942,0.7060118543607112,0.8232366733658724,0.8545813161197776,0.5469121595703874,0.6446861351374497,0.8301069321533924,0.9167389708336114,0.8485841674786665,0.8297657572068996,0.8591204214136959,0.8443508032657361,0.8575153374233129,0.851115215229436,0.9134922714173435,0.6196796338672769,0.5999283827939662,0.7285813791502206,0.8532291909536023,0.6213299874529485,0.7014652014652014,0.7955401835256563,0.9671660571743148,0.8804375476977868,0.8664558194964878,0.8991175769139041,0.8598793609390284,0.8312544748841241,0.8836562344759066,0.647601304145319,0.8803212574540692,0.8945425521301008,0.8271604938271605,0.7477997462032829,0.8714529482399039,0.8662847154787338,0.6419704173269942,0.7060118543607112,0.8232366733658724,0.8545813161197776,0.5469121595703874,0.6446861351374497,0.8301069321533924,0.9167389708336114,0.8485841674786665,0.8297657572068996,0.8591204214136959,0.8443508032657361,0.8575153374233129,0.851115215229436,0.9134922714173435,0.6196796338672769,0.5999283827939662,0.7285813791502206,0.8532291909536023,0.6213299874529485,0.7014652014652014,0.7955401835256563,0.9671660571743148
17,bert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.03958739712834358,0,0.03958739712834358,0.891694225387942,0.8775482141015504,0.9029930837109468,0.860939028366482,0.8185552247804951,0.8887232985593642,0.663623660922217,0.8890765571679707,0.8915494362965181,0.8167352537722908,0.7468991772074174,0.8638690513809012,0.8700718586133229,0.6444796619123085,0.7003386960203217,0.8330940759881328,0.8617536309844002,0.4948216340621404,0.6342382461248608,0.8182153392330384,0.9128345458185944,0.8542238757492544,0.8334768280735089,0.8588141614602475,0.8490913879378457,0.868558282208589,0.8604205142775962,0.9192559601781504,0.5848970251716247,0.6090148158094982,0.7248664964012074,0.8609815807880625,0.6026767043078209,0.6662504162504163,0.7933700573242661,0.9615036766151547,0.891694225387942,0.8775482141015504,0.9029930837109468,0.860939028366482,0.8185552247804951,0.8887232985593642,0.663623660922217,0.8890765571679707,0.8915494362965181,0.8167352537722908,0.7468991772074174,0.8638690513809012,0.8700718586133229,0.6444796619123085,0.7003386960203217,0.8330940759881328,0.8617536309844002,0.4948216340621404,0.6342382461248608,0.8182153392330384,0.9128345458185944,0.8542238757492544,0.8334768280735089,0.8588141614602475,0.8490913879378457,0.868558282208589,0.8604205142775962,0.9192559601781504,0.5848970251716247,0.6090148158094982,0.7248664964012074,0.8609815807880625,0.6026767043078209,0.6662504162504163,0.7933700573242661,0.9615036766151547
31,bert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.09913238137960434,0,0.09913238137960434,0.8798015772068176,0.8596376637216817,0.8927975196756499,0.8574339745679818,0.8349474318875533,0.8837555886736215,0.6279770222015215,0.8832511805866741,0.8950414047690313,0.8119798811156835,0.741577633140939,0.8710737533969538,0.8677413089920373,0.6303486529318542,0.6944679650014113,0.8283089290841229,0.8505468890084275,0.5804372842347526,0.6447717735719791,0.8298303834808259,0.9159714342921979,0.843564531845159,0.8342487308137636,0.8507288986892074,0.8418927223246423,0.8530674846625766,0.8538854950987356,0.9140686402934242,0.6173913043478261,0.6102233561613177,0.7283491989784072,0.851830263464677,0.6184859891258887,0.675990675990676,0.7933948983334713,0.9657504620345247,0.8798015772068176,0.8596376637216817,0.8927975196756499,0.8574339745679818,0.8349474318875533,0.8837555886736215,0.6279770222015215,0.8832511805866741,0.8950414047690313,0.8119798811156835,0.741577633140939,0.8710737533969538,0.8677413089920373,0.6303486529318542,0.6944679650014113,0.8283089290841229,0.8505468890084275,0.5804372842347526,0.6447717735719791,0.8298303834808259,0.9159714342921979,0.843564531845159,0.8342487308137636,0.8507288986892074,0.8418927223246423,0.8530674846625766,0.8538854950987356,0.9140686402934242,0.6173913043478261,0.6102233561613177,0.7283491989784072,0.851830263464677,0.6184859891258887,0.675990675990676,0.7933948983334713,0.9657504620345247
42,bert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.0889047309756279,0,0.0889047309756279,0.8764945306537777,0.8532549531896364,0.8960767946577629,0.8584121291164004,0.8221728153144666,0.8796820665673125,0.6267349790405217,0.8902829961049257,0.8923476005188068,0.8142661179698216,0.7338818617217242,0.8642482462238513,0.8627888910468052,0.6549128367670365,0.683657917019475,0.8238108909943536,0.8568226645149722,0.531108553893364,0.6295281322257429,0.8272492625368731,0.9114329573516652,0.8437712227241858,0.836772259003058,0.8515251745681734,0.8326749187955403,0.8486196319018405,0.8464980821139366,0.9119203563007597,0.6173913043478261,0.623248735508706,0.712560947295101,0.8451853578922826,0.6144709326641573,0.6729104229104229,0.7896093101016262,0.9663402933427706,0.8764945306537777,0.8532549531896364,0.8960767946577629,0.8584121291164004,0.8221728153144666,0.8796820665673125,0.6267349790405217,0.8902829961049257,0.8923476005188068,0.8142661179698216,0.7338818617217242,0.8642482462238513,0.8627888910468052,0.6549128367670365,0.683657917019475,0.8238108909943536,0.8568226645149722,0.531108553893364,0.6295281322257429,0.8272492625368731,0.9114329573516652,0.8437712227241858,0.836772259003058,0.8515251745681734,0.8326749187955403,0.8486196319018405,0.8464980821139366,0.9119203563007597,0.6173913043478261,0.623248735508706,0.712560947295101,0.8451853578922826,0.6144709326641573,0.6729104229104229,0.7896093101016262,0.9663402933427706
66,bert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.028743676841259003,0,0.028743676841259003,0.8782116509793946,0.8518684038640035,0.8957190555688052,0.8582491033583306,0.8294833628518672,0.886140089418778,0.6517621487346685,0.8846299679431939,0.8928464531577373,0.8145404663923183,0.737525072659544,0.8687353851987613,0.8691979025053408,0.6455361859482304,0.7166243296641265,0.828404632022203,0.8584364353595123,0.5474491752972765,0.6298706859638605,0.8331489675516224,0.917306280451178,0.834794933120737,0.8384645073182317,0.852015190493691,0.8344306908963216,0.8519938650306749,0.8413837192783066,0.9099816609903065,0.6041189931350115,0.6117899825433061,0.715172974228001,0.8462345535089765,0.6070263488080301,0.6732434232434232,0.7916569587495816,0.965671817860092,0.8782116509793946,0.8518684038640035,0.8957190555688052,0.8582491033583306,0.8294833628518672,0.886140089418778,0.6517621487346685,0.8846299679431939,0.8928464531577373,0.8145404663923183,0.737525072659544,0.8687353851987613,0.8691979025053408,0.6455361859482304,0.7166243296641265,0.828404632022203,0.8584364353595123,0.5474491752972765,0.6298706859638605,0.8331489675516224,0.917306280451178,0.834794933120737,0.8384645073182317,0.852015190493691,0.8344306908963216,0.8519938650306749,0.8413837192783066,0.9099816609903065,0.6041189931350115,0.6117899825433061,0.715172974228001,0.8462345535089765,0.6070263488080301,0.6732434232434232,0.7916569587495816,0.965671817860092
23,bert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.04344441741704941,0,0.04344441741704941,0.8829814296616637,0.8614310105767358,0.897686620558073,0.8593087707857842,0.8282398161058145,0.879980129160457,0.6495575221238938,0.883389059322326,0.8913498952409459,0.8163694558756287,0.7501330386016619,0.8657018264551603,0.8634686346863468,0.6631008980454305,0.6870166525543325,0.8306057995980477,0.8465124618970773,0.5508247027234369,0.6271302560589193,0.8290007374631269,0.9139024227457786,0.8489680219682877,0.8315767597898049,0.8569766017395566,0.842858396980072,0.8565950920245399,0.8464980821139366,0.9120775478124181,0.6082379862700229,0.6086119690255584,0.7262595774320872,0.8539869433434367,0.6188205771643663,0.6751581751581751,0.7930681432665562,0.9671660571743148,0.8829814296616637,0.8614310105767358,0.897686620558073,0.8593087707857842,0.8282398161058145,0.879980129160457,0.6495575221238938,0.883389059322326,0.8913498952409459,0.8163694558756287,0.7501330386016619,0.8657018264551603,0.8634686346863468,0.6631008980454305,0.6870166525543325,0.8306057995980477,0.8465124618970773,0.5508247027234369,0.6271302560589193,0.8290007374631269,0.9139024227457786,0.8489680219682877,0.8315767597898049,0.8569766017395566,0.842858396980072,0.8565950920245399,0.8464980821139366,0.9120775478124181,0.6082379862700229,0.6086119690255584,0.7262595774320872,0.8539869433434367,0.6188205771643663,0.6751581751581751,0.7930681432665562,0.9671660571743148
17,bert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.04594668000936508,0,0.04594668000936508,0.885970490969219,0.8666563534898645,0.8995945623658479,0.862976850342354,0.8393563703508309,0.8815697963238946,0.6373854991460953,0.8861983385612354,0.8962386511024644,0.821490626428898,0.73510991035245,0.8730961258926878,0.8697805399106623,0.6561014263074485,0.6976291278577477,0.8321370466073309,0.865160480545096,0.5421557345607978,0.639205275327567,0.8326880530973452,0.9175398785289995,0.8459562405881832,0.8337440251759047,0.8578341296092123,0.841453779299447,0.86579754601227,0.8517545105838897,0.9165837044799581,0.6018306636155606,0.6038225683720514,0.7206872533085674,0.847400326416414,0.6172312839815977,0.6730769230769231,0.7945651203702595,0.9652785969879282,0.885970490969219,0.8666563534898645,0.8995945623658479,0.862976850342354,0.8393563703508309,0.8815697963238946,0.6373854991460953,0.8861983385612354,0.8962386511024644,0.821490626428898,0.73510991035245,0.8730961258926878,0.8697805399106623,0.6561014263074485,0.6976291278577477,0.8321370466073309,0.865160480545096,0.5421557345607978,0.639205275327567,0.8326880530973452,0.9175398785289995,0.8459562405881832,0.8337440251759047,0.8578341296092123,0.841453779299447,0.86579754601227,0.8517545105838897,0.9165837044799581,0.6018306636155606,0.6038225683720514,0.7206872533085674,0.847400326416414,0.6172312839815977,0.6730769230769231,0.7945651203702595,0.9652785969879282
