seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_em,eval_ar_f1,eval_de_em,eval_de_f1,eval_el_em,eval_el_f1,eval_es_em,eval_es_f1,eval_hi_em,eval_hi_f1,eval_ro_em,eval_ro_f1,eval_ru_em,eval_ru_f1,eval_th_em,eval_th_f1,eval_tr_em,eval_tr_f1,eval_vi_em,eval_vi_f1,eval_zh_em,eval_zh_f1,eval_avg_em,eval_avg_f1,eval_same_em,eval_same_f1
31,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.36906570196151733,0,0.36906570196151733,0.38235294117647056,0.5409884621612251,0.48823529411764705,0.6491655482821672,0.3352941176470588,0.46987424774566666,0.5092436974789916,0.6840030538269342,0.32521008403361346,0.4368897987002289,0.4890756302521008,0.6193404073007867,0.45630252100840335,0.6260335988221447,0.20504201680672268,0.2743157262905163,0.32857142857142857,0.4580989696625644,0.43781512605042017,0.6251652772093538,0.4176470588235294,0.4971595304788582,0.3977081741787625,0.5346395109527678,0.634720908230842,0.7714278104622347
42,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.34279680252075195,0,0.34279680252075195,0.32941176470588235,0.49136739381186406,0.48067226890756304,0.6432273256198676,0.334453781512605,0.47231605711678293,0.47394957983193275,0.6600422455805256,0.3058823529411765,0.4202705091626477,0.5092436974789916,0.6398869824292364,0.4369747899159664,0.6090527490903148,0.23025210084033612,0.2984187008136589,0.3310924369747899,0.45665187940892366,0.4184873949579832,0.6092792845464479,0.40756302521008403,0.49496265172735754,0.38708938120702835,0.5268614344825114,0.6352885525070956,0.7704359206563326
66,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.22332629561424255,0,0.22332629561424255,0.36554621848739494,0.5303578694854636,0.4907563025210084,0.6517538928809906,0.3638655462184874,0.4921459283432691,0.4966386554621849,0.6687555827153678,0.2966386554621849,0.4290775686383566,0.4966386554621849,0.6270929212934252,0.46974789915966386,0.638100145311066,0.23361344537815126,0.309142990529545,0.33613445378151263,0.4749905430193563,0.4226890756302521,0.6179954652947626,0.44285714285714284,0.5175223422702414,0.4013750954927426,0.5415395681619859,0.6346263008514664,0.7678727127168387
23,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.2882268726825714,0,0.2882268726825714,0.373109243697479,0.5293231612485347,0.4865546218487395,0.6424876287222385,0.3680672268907563,0.5022379598772208,0.4966386554621849,0.6769847714951837,0.29327731092436976,0.4293875683400822,0.49831932773109244,0.639688879250149,0.45714285714285713,0.6263156773002134,0.25798319327731095,0.3203994931305858,0.31848739495798317,0.4590814786399383,0.4142857142857143,0.6104470200927075,0.41596638655462187,0.4942510337468322,0.3981665393430099,0.539145879258517,0.6301797540208136,0.7671697341833111
17,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.8380690217018127,0,0.8380690217018127,0.36134453781512604,0.5237181804060387,0.5042016806722689,0.6610215522268323,0.3596638655462185,0.4930504878506656,0.5050420168067227,0.6823988259808693,0.3235294117647059,0.4489150041448533,0.5008403361344538,0.6436955948701302,0.45210084033613446,0.6253719797207966,0.2504201680672269,0.31242496998799524,0.3243697478991597,0.4647032341530482,0.4327731092436975,0.6330961099491067,0.4235294117647059,0.4900060024009605,0.40343773873185645,0.5434910856082996,0.6332071901608326,0.7680308288076771
31,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.2605528235435486,0,0.2605528235435486,0.3915966386554622,0.5410050150802191,0.5201680672268908,0.6674073128915661,0.3554621848739496,0.4968237037627215,0.5100840336134453,0.7049937116945366,0.3563025210084034,0.48643129722771444,0.5235294117647059,0.6560121591477983,0.4672268907563025,0.6405932616286241,0.2495798319327731,0.32561357876483943,0.34285714285714286,0.47069257547566584,0.4411764705882353,0.6340028811512283,0.4470588235294118,0.5354061624649855,0.41864018334606573,0.5599074235718091,0.6424787133396405,0.7797133844658265
42,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.3575174808502197,0,0.3575174808502197,0.3865546218487395,0.5475581549380966,0.5084033613445378,0.6694306167244111,0.37815126050420167,0.5191614790255418,0.5100840336134453,0.696417568591081,0.3420168067226891,0.4784048066822397,0.5252100840336135,0.6578608950786013,0.46218487394957986,0.6307838710823328,0.2630252100840336,0.33929396000824585,0.3369747899159664,0.4691907913328893,0.4394957983193277,0.6297006782150133,0.44537815126050423,0.5225023342670395,0.4179526355996945,0.5600277414495902,0.646073793755913,0.7825494783593528
66,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.1730571836233139,0,0.1730571836233139,0.35798319327731093,0.5126817837731307,0.49747899159663866,0.6629233605994606,0.36470588235294116,0.5012571878452403,0.49327731092436977,0.6689022038095892,0.33949579831932775,0.46405963827553076,0.5210084033613446,0.6496814144231255,0.4689075630252101,0.6366114108111961,0.25126050420168067,0.3172315592903829,0.3042016806722689,0.4332099615569229,0.4403361344537815,0.6330085819535181,0.43025210084033616,0.5192823796185138,0.40626432391138273,0.5453499529051464,0.6423841059602649,0.7781234384528687
23,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.27502065896987915,0,0.27502065896987915,0.3840336134453782,0.5484133336704089,0.4907563025210084,0.6507125078905501,0.3831932773109244,0.5223335723660666,0.5117647058823529,0.6899241128709017,0.3403361344537815,0.46730197048827227,0.5201680672268908,0.6549386111668254,0.47394957983193275,0.6502038854147874,0.23025210084033612,0.29730959050286804,0.3277310924369748,0.46416609836232403,0.44285714285714284,0.6291794153944462,0.4394957983193277,0.5231619314392422,0.41313980137509554,0.554331366324245,0.646546830652791,0.7820519907077215
17,bert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.8245886564254761,0,0.8245886564254761,0.3689075630252101,0.5306309375595566,0.4773109243697479,0.6493744466557122,0.36050420168067226,0.49097816543175377,0.48487394957983193,0.6742359176808912,0.3319327731092437,0.45769400794296056,0.5025210084033613,0.6343704225593424,0.4546218487394958,0.6235432793486697,0.28739495798319326,0.35019951840385305,0.3100840336134454,0.43575035474054885,0.446218487394958,0.6231322210763589,0.42521008403361343,0.5071535280778977,0.404507257448434,0.5433693454070495,0.6462630085146641,0.7816171546880544
