seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_em,eval_ar_f1,eval_de_em,eval_de_f1,eval_el_em,eval_el_f1,eval_es_em,eval_es_f1,eval_hi_em,eval_hi_f1,eval_ro_em,eval_ro_f1,eval_ru_em,eval_ru_f1,eval_th_em,eval_th_f1,eval_tr_em,eval_tr_f1,eval_vi_em,eval_vi_f1,eval_zh_em,eval_zh_f1,eval_avg_em,eval_avg_f1,eval_same_em,eval_same_f1
31,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.47911974787712097,0,0.47911974787712097,0.23445378151260504,0.3556760813882666,0.3638655462184874,0.4842689956033175,0.2134453781512605,0.31967946366056105,0.34705882352941175,0.4902896283052251,0.1781512605042017,0.28253027394986835,0.3176470588235294,0.4172564557754132,0.33277310924369746,0.4655198830692366,0.13025210084033614,0.17366146458583429,0.2,0.2851104996777268,0.2453781512605042,0.3543685213467111,0.2689075630252101,0.33211884753901594,0.25744843391902217,0.3600436468091978,0.5605487228003785,0.6940685680883908
42,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.6659482717514038,0,0.6659482717514038,0.22773109243697479,0.34609241646988514,0.3663865546218487,0.48707967319364914,0.22773109243697479,0.33659257246021973,0.3453781512605042,0.4896229295365462,0.18067226890756302,0.2915693891996026,0.3352941176470588,0.4395851137332978,0.33949579831932775,0.4826038643065532,0.13949579831932774,0.18168921647913241,0.20672268907563024,0.31115388742452554,0.25210084033613445,0.39879210010440297,0.27310924369747897,0.34752798088932596,0.2631016042780749,0.37384628579974,0.5681173131504257,0.7021787310295506
66,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.44484221935272217,0,0.44484221935272217,0.246218487394958,0.3640573680909819,0.36554621848739494,0.49011682903710607,0.24369747899159663,0.3402814103976981,0.3420168067226891,0.48758314254460977,0.20252100840336135,0.3113105130980714,0.3302521008403361,0.43352179455048867,0.33613445378151263,0.4653264425777238,0.146218487394958,0.19386821395224751,0.21596638655462186,0.31018502911014056,0.25546218487394956,0.3825395241265263,0.2680672268907563,0.339463118580766,0.26837280366692134,0.3743866714605782,0.5635761589403974,0.7008499433433139
23,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,0.4828678071498871,0,0.4828678071498871,0.24285714285714285,0.35993979219275857,0.3554621848739496,0.49510041640603725,0.23949579831932774,0.3452489405590371,0.35378151260504204,0.5015630916073084,0.1907563025210084,0.2911321306634809,0.33949579831932775,0.45090177181069385,0.34285714285714286,0.4866306560345124,0.1361344537815126,0.178546752034147,0.20672268907563024,0.31166362121624847,0.2445378151260504,0.38458568067755644,0.27310924369747897,0.34511004401760753,0.26592818945760127,0.37731117247448975,0.5617786187322611,0.6980496597292876
17,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_dico,18010,18010,19786,288076,1.0666486024856567,0,1.0666486024856567,0.23445378151260504,0.37314681962304996,0.3546218487394958,0.4934377689903719,0.24705882352941178,0.3515407932707895,0.346218487394958,0.5078364356404068,0.1915966386554622,0.29928619285462976,0.3403361344537815,0.45229974491455394,0.3554621848739496,0.49004748886587435,0.14369747899159663,0.18581250682091013,0.21764705882352942,0.3089352364648957,0.2823529411764706,0.4082903898672715,0.2823529411764706,0.3531145791649997,0.27234530175706645,0.38397708695252303,0.5641438032166509,0.6993126367926636
31,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.4332723021507263,0,0.4332723021507263,0.22857142857142856,0.3626358470765373,0.31932773109243695,0.4564710623029638,0.23025210084033612,0.3439506880869951,0.32605042016806723,0.4977217950437522,0.1957983193277311,0.29678240321317323,0.3420168067226891,0.46250868500681286,0.3134453781512605,0.46509669680222776,0.13277310924369748,0.1843119672111268,0.2495798319327731,0.36156140777303664,0.27899159663865547,0.4408345128248509,0.2605042016806723,0.33654661864745944,0.2615737203972498,0.38258378945353966,0.5597918637653737,0.6915801943288611
42,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.6888444423675537,0,0.6888444423675537,0.246218487394958,0.38183510177232416,0.3663865546218487,0.4979668653152073,0.23109243697478993,0.33726238911949785,0.380672268907563,0.5538652992085235,0.18739495798319328,0.29429802907548963,0.3739495798319328,0.4872258135777704,0.346218487394958,0.48908029402497194,0.13445378151260504,0.17773109243697482,0.22773109243697479,0.3637941336002387,0.2915966386554622,0.4505011633862806,0.28739495798319326,0.3585090399796286,0.27937356760886173,0.39927902013608246,0.5669820245979187,0.7031101901983411
66,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.42159903049468994,0,0.42159903049468994,0.2361344537815126,0.36599337692334716,0.35378151260504204,0.49302786882859817,0.24789915966386555,0.3564239163288837,0.35294117647058826,0.5255468883937532,0.18487394957983194,0.2831728888601543,0.36722689075630255,0.4809134651910986,0.3445378151260504,0.5030958799303686,0.14369747899159663,0.19907029478458046,0.22773109243697479,0.34891422909490183,0.27899159663865547,0.43466133540249646,0.28319327731092436,0.37089302387621764,0.27463712757830405,0.39651937887403643,0.5616840113528855,0.7032711464415422
23,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,0.5628876686096191,0,0.5628876686096191,0.2218487394957983,0.34890250572976833,0.31932773109243695,0.45876936955149955,0.23025210084033612,0.3441408490931453,0.35042016806722687,0.5091587544278762,0.16134453781512606,0.2695983369739478,0.34285714285714286,0.45279185055497373,0.3226890756302521,0.4595357186598374,0.13865546218487396,0.1893230625583566,0.21596638655462186,0.3367419375307481,0.2647058823529412,0.4239539794337215,0.26134453781512607,0.3341903428037886,0.25721925133689844,0.37519151884706026,0.5584673604541154,0.6958630833579436
17,distilbert-base-multilingual-cased,xquad,freeze_realign_unfreeze_last_half_dico,18010,18010,19786,288076,1.0613296031951904,0,1.0613296031951904,0.27983193277310925,0.4170300422951611,0.326890756302521,0.4790811083839164,0.2529411764705882,0.37040785323465425,0.3563025210084034,0.5350787449903617,0.1915966386554622,0.30386681519452047,0.3630252100840336,0.4732222093365285,0.33865546218487397,0.4901504266879554,0.1403361344537815,0.1947867025598118,0.22521008403361345,0.34898530752591345,0.2815126050420168,0.44560318946811645,0.2823529411764706,0.36670201413898934,0.27624140565317035,0.40226494671053903,0.5617786187322611,0.7021929651017667
